"id";"page";"site_title";"original_file_name";"extension";"url";"download_status";"direction";"package";"content_short";"year";"proposed_name";"ocr_status";"notes"
"27";"1";"Роз'яснення щодо правил ведення електронних медичних записів в електронній системі охорони здоров'я за експериментальним проектом щодо оплати закладам охорони здоров’я послуги довготривалого медсестринського догляду внутрішньо переміщених осіб";"5JdDMtem12gZ7ctJMFIDns1oh7kKxuzKtB97KWRf.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/10/09/5JdDMtem12gZ7ctJMFIDns1oh7kKxuzKtB97KWRf.pdf";"не завантажено";"";"";"";"";"";"";""
"28";"1";"Роз’яснення щодо застосування правил множинних операцій за пакетом «Хірургічні операції дорослим та дітям у стаціонарних умовах»";"BqTHbrpcx9OT8edJLjAkOsOkv4ENkbLaAlDeTBMC.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/10/09/BqTHbrpcx9OT8edJLjAkOsOkv4ENkbLaAlDeTBMC.pdf";"не завантажено";"";"";"";"";"";"";""
"29";"1";"Додаток 1 до роз’яснення щодо застосування правил множинних операцій за пакетом «Хірургічні операції дорослим та дітям у стаціонарних умовах»";"4z06BZo72zxoyUp7ZzATzbxwYuhQzqYFb0M082Nn.xlsx";"xlsx";"https://backend.nszu.gov.ua/storage/application/25/10/09/4z06BZo72zxoyUp7ZzATzbxwYuhQzqYFb0M082Nn.xlsx";"не завантажено";"";"";"";"";"";"";""
"30";"1";"Роз’яснення щодо запровадження нових правил обліку симультанних (чисельних), повторних та послідовних операціях в межах одного пролікованого випадку за пакетом «Хірургічні операції дорослим та дітям у стаціонарних умовах»";"zmhdWIi7WUWeimTUnf2LWJ5jCtVoocGhInlfP23K.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/zmhdWIi7WUWeimTUnf2LWJ5jCtVoocGhInlfP23K.pdf";"не завантажено";"";"";"";"";"";"";""
"31";"2";"Роз'яснення щодо внесенні змін до правил щодо визначення послуг за сервісом “Лабораторна діагностика”, та додано правила сервісу «Інструментальна діагностика» пакету медичних послуг «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» у 2025 році";"3QNoHjCNT7oGRtgMnHBhfvb7CA8V57oMFWaIg2qv.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/3QNoHjCNT7oGRtgMnHBhfvb7CA8V57oMFWaIg2qv.pdf";"не завантажено";"";"";"";"";"";"";""
"32";"2";"Уточнююче роз'яснення щодо порядку обліку та кодування медичних послуг за пакетом «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» — Додаток 1";"AsYJVwPHDAxAstnfUVO3ZWSSBLqe5WXfx3pxl9up.xlsx";"xlsx";"https://backend.nszu.gov.ua/storage/application/25/09/10/AsYJVwPHDAxAstnfUVO3ZWSSBLqe5WXfx3pxl9up.xlsx";"не завантажено";"";"";"";"";"";"";""
"33";"2";"Уточнююче роз'яснення щодо порядку обліку та кодування медичних послуг за пакетом «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах»";"dYosLrxYXr0xNYZcNtcGOKgaAfcedGn8C6RYYQp5.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/dYosLrxYXr0xNYZcNtcGOKgaAfcedGn8C6RYYQp5.pdf";"не завантажено";"";"";"";"";"";"";""
"34";"2";"Інформування щодо змін у пакет ""РЕАБІЛІТАЦІЙНА ДОПОМОГА ДОРОСЛИМ І ДІТЯМ У АМБУЛАТОРНИХ УМОВАХ""";"Ilvbo1p3iBxNqz1w6ls1Y1EWDwwR8wXWPfH2nEwX.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/Ilvbo1p3iBxNqz1w6ls1Y1EWDwwR8wXWPfH2nEwX.pdf";"не завантажено";"";"";"";"";"";"";""
"35";"2";"Роз’яснення щодо ведення електронних медичних записів за пакетом медичних послуг «Медична допомога при гострому мозковому інсульті»";"QBFWe7jRl2hr1JMkAg47ieMBv1vnaTvhvafwLjw4.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/QBFWe7jRl2hr1JMkAg47ieMBv1vnaTvhvafwLjw4.pdf";"не завантажено";"";"";"";"";"";"";""
"36";"2";"Роз’яснення щодо ведення електронних медичних записів (ЕМЗ) стаціонарного лікування пацієнтів з гострим інфарктом міокарда";"XcBfw22eDYPjQ9F12HlNkN5ajhZvlQkEsYminmdU.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/XcBfw22eDYPjQ9F12HlNkN5ajhZvlQkEsYminmdU.pdf";"не завантажено";"";"";"";"";"";"";""
