id;site_title;original_file_name;extension;url;direction;package;content_short;year;year_basis;text_quality;proposed_name;duplicate_of;review_required;download_status;ocr_status;renamed_relative_path;direction_relative_path
139;Лист аптечним закладам щодо відпуску лікарських засобів, які підлягають реімбурсації, за паперовими рецептами лікарів з 01.07.2023 - 22108/4-15-23 від 21.06.2023;MRExZm5QZfRdNOXtnDQ54SjqClR9RW6HGmjyVhfv.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/MRExZm5QZfRdNOXtnDQ54SjqClR9RW6HGmjyVhfv.pdf;Реімбурсація;Без-пакета;Лист-аптечним-закладам-щодо-відпуску-лікарських;2023;title_date;needs_ocr;Реімбурсація_Без-пакета_Лист-аптечним-закладам-щодо-відпуску-лікарських_2023.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Реімбурсація_Без-пакета_Лист-аптечним-закладам-щодо-відпуску-лікарських_2023.pdf;03_За_напрямами/Реімбурсація/Реімбурсація_Без-пакета_Лист-аптечним-закладам-щодо-відпуску-лікарських_2023.pdf
140;Лист 22109/4-15-23 від 21.06.2023 направлено надавачам медичних послуг щодо виписування паперових рецептів на лікарські засоби, які підлягають реімбурсації, з 01.07.2023;a2jGBb5LW8mtymBLEuh9w3GT0CQUCsScDWI421H8.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/a2jGBb5LW8mtymBLEuh9w3GT0CQUCsScDWI421H8.pdf;Первинна-допомога;ПМД;Лист-22109-4-15-23-від;2023;title_date;needs_ocr;Первинна-допомога_ПМД_Лист-22109-4-15-23-від_2023.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Первинна-допомога_ПМД_Лист-22109-4-15-23-від_2023.pdf;03_За_напрямами/Первинна-допомога/Первинна-допомога_ПМД_Лист-22109-4-15-23-від_2023.pdf
141;Додаткові роз’ясненя щодо ведення електронних медичних записів в амбулаторних умовах;InMpJfoMDT9iOCmAt5mREhLgaMycS4n2NJwPjp98.zip;zip;https://backend.nszu.gov.ua/storage/application/25/09/10/InMpJfoMDT9iOCmAt5mREhLgaMycS4n2NJwPjp98.zip;Амбулаторна-допомога;Амбулаторна-допомога;Ведення-ЕМЗ;2025;publication_year;archive_review;Амбулаторна-допомога_Амбулаторна-допомога_Ведення-ЕМЗ_2025.zip;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Ведення-ЕМЗ_2025.zip;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Ведення-ЕМЗ_2025.zip
142;Додаткове роз’яснення щодо принципу оплати послуг та правил ведення ЕМЗ в ЕСОЗ за пакетом медичних послуг «Лікування осіб із психічними та поведінковими розладами внаслідок вживання опіоїдів із використанням препаратів замісної підтримувальної терапії»;dqS46zEXpC5gtQEAOOkwNUmbDwQqsDPUC3qAF09A.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/dqS46zEXpC5gtQEAOOkwNUmbDwQqsDPUC3qAF09A.pdf;ЕСОЗ-та-ЕМЗ;Без-пакета;Ведення-ЕМЗ;2025;publication_year;needs_ocr;ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2025_03.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2025_03.pdf;03_За_напрямами/ЕСОЗ-та-ЕМЗ/ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2025_03.pdf
143;Роз’яснення щодо принципу оплати послуг та правил ведення ЕМЗ в ЕСОЗ за пакетом медичних послуг «Медичний огляд осіб, який організовується територіальними центрами комплектування та соціальної підтримки»;hGX3LF4qBaLGIMH9sUJtxe9GXiBSBpjaGeQ06At7.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/hGX3LF4qBaLGIMH9sUJtxe9GXiBSBpjaGeQ06At7.pdf;Медичні-огляди;Медогляд-ТЦК;Ведення-ЕМЗ;2025;publication_year;needs_ocr;Медичні-огляди_Медогляд-ТЦК_Ведення-ЕМЗ_2025_03.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Медичні-огляди_Медогляд-ТЦК_Ведення-ЕМЗ_2025_03.pdf;03_За_напрямами/Медичні-огляди/Медичні-огляди_Медогляд-ТЦК_Ведення-ЕМЗ_2025_03.pdf
144;Роз’яснення щодо послуг, оплачених за рахунок коштів інших джерел;yVTXquy5hfpHqdjJRiGOBsZPGVyffRLfaGXMnLpm.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/yVTXquy5hfpHqdjJRiGOBsZPGVyffRLfaGXMnLpm.pdf;Оплата-та-звітування;Без-пакета;Оплата-з-інших-джерел;2025;publication_year;text_ok;Оплата-та-звітування_Без-пакета_Оплата-з-інших-джерел_2025.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/Оплата-та-звітування_Без-пакета_Оплата-з-інших-джерел_2025.pdf;03_За_напрямами/Оплата-та-звітування/Оплата-та-звітування_Без-пакета_Оплата-з-інших-джерел_2025.pdf
145;Роз’яснення щодо надання медичних послуг пацієнтам з розладами психіки та поведінки на первинному рівні медичної допомоги та правил ведення електронних медичних записів;URCzisQMJPeK6MdfI2t7FScwG6YJtFDQ3BHzVPCm.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/URCzisQMJPeK6MdfI2t7FScwG6YJtFDQ3BHzVPCm.pdf;Первинна-допомога;ПМД;Ведення-ЕМЗ;2025;publication_year;needs_ocr;Первинна-допомога_ПМД_Ведення-ЕМЗ_2025_03.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Первинна-допомога_ПМД_Ведення-ЕМЗ_2025_03.pdf;03_За_напрямами/Первинна-допомога/Первинна-допомога_ПМД_Ведення-ЕМЗ_2025_03.pdf
146;Роз'яснення щодо амбулаторних електронно-медичних записів;XmW5OPOWAzm6V1BKK7YeOsLyxqjN72rrAZeO5ITO.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/XmW5OPOWAzm6V1BKK7YeOsLyxqjN72rrAZeO5ITO.pdf;Амбулаторна-допомога;Амбулаторна-допомога;амбулаторних-електронно-медич;2025;publication_year;needs_ocr;Амбулаторна-допомога_Амбулаторна-допомога_амбулаторних-електронно-медич_2025.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_амбулаторних-електронно-медич_2025.pdf;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_амбулаторних-електронно-медич_2025.pdf
147;Роз’яснення щодо коригування фактичної вартості медичних послуг за пакетами — Додаток;iG2UmNVuI4LP7dRceHpDfDKhT5IrzTOEcg2h1eMl.xlsx;xlsx;https://backend.nszu.gov.ua/storage/application/25/09/10/iG2UmNVuI4LP7dRceHpDfDKhT5IrzTOEcg2h1eMl.xlsx;Оплата-та-звітування;Реабілітація;Додаток;2025;publication_year;text_ok;Оплата-та-звітування_Реабілітація_Додаток_2025.xlsx;;;завантажено;машинний текст доступний;02_Перейменовані/Оплата-та-звітування_Реабілітація_Додаток_2025.xlsx;03_За_напрямами/Оплата-та-звітування/Оплата-та-звітування_Реабілітація_Додаток_2025.xlsx
148;Роз’яснення щодо коригування фактичної вартості медичних послуг за пакетами;x4F6GCZ2BPay3zmGYjsyIhwSNx3JKasP8kb0A10X.pdf;pdf;https://backend.nszu.gov.ua/storage/application/25/09/10/x4F6GCZ2BPay3zmGYjsyIhwSNx3JKasP8kb0A10X.pdf;Оплата-та-звітування;Без-пакета;коригування-фактичної-вартості-медичних;2025;publication_year;needs_ocr;Оплата-та-звітування_Без-пакета_коригування-фактичної-вартості-медичних_2025.pdf;;;завантажено;OCR виконано (кирилиця ru, перевірити українські літери);02_Перейменовані/Оплата-та-звітування_Без-пакета_коригування-фактичної-вартості-медичних_2025.pdf;03_За_напрямами/Оплата-та-звітування/Оплата-та-звітування_Без-пакета_коригування-фактичної-вартості-медичних_2025.pdf
